Experiment, Condition, DyadID, ParticipantID,Phase,Meaning,InputSentence,RT,MeaningSelection,OutputSentence,CorrectedOutput,Grammatical,GrammaticalityJudgment,Timestamp
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:03:03 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:03:08 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:03:12 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:03:17 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:03:22 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:03:26 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nezno,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:03:35 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kospu,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:03:40 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:03:45 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nefri,1.15,correct,NA,NA,NA,NA,Wed Jun 29 10:03:50 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nezno,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:03:55 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kogla,3.47,correct,NA,NA,NA,NA,Wed Jun 29 10:04:03 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,2.31,correct,NA,NA,NA,NA,Wed Jun 29 10:04:09 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kospu,2.31,correct,NA,NA,NA,NA,Wed Jun 29 10:04:15 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,1.15,correct,NA,NA,NA,NA,Wed Jun 29 10:04:20 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:04:26 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:27 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:32 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:36 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:41 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:46 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:50 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:55 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:04:59 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kospu,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:04 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:08 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:13 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:17 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:22 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kospu,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:27 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:05:31 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nefri,1.15,correct,NA,NA,NA,NA,Wed Jun 29 10:05:40 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nezno,1.17,correct,NA,NA,NA,NA,Wed Jun 29 10:05:45 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nefri,2.32,correct,NA,NA,NA,NA,Wed Jun 29 10:05:51 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nefri,2.31,correct,NA,NA,NA,NA,Wed Jun 29 10:05:57 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nefri,1.15,correct,NA,NA,NA,NA,Wed Jun 29 10:06:03 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:06:08 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nezno,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:06:13 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:06:19 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:06:24 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kospu,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:06:29 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kospu,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:30 2016
